,Exemplar,Cluster
124,Chicken Burger,"125ml Whispering Angel, Add Chicken Breast , Beef Burger, Cappuccino Large, Chicken Balti Pie, Chicken Burger, Chicken Fatta, Chicken Goujons , Chicken Tikka Flatbread, Chickenless Bake, Chickpea & Tom, Chocoly Original Wernli, Crispy Fish burger, Halal Burger, P-Cheese Burger, Rockin Beef Burger , Veg/Quron Burger (£1.90)"
125,Mens ICN Polo - Blk/Gld M,"Mens ICN Polo - Blk/Gld M, Mens Rain Jacket - Black S"
126,Fruit Salad Pot,"1 Fruit piece 1.10, Crest Zip Navy 2XL, Fruit Bubble Tea, Fruit Salad Bowl, Fruit Salad Pot, Medium Salad Bar, NW B27 Rama Tinto, One Shot Salad Portion, Overnight Oats Pot, Tuna Salad Panini"
127,Duck & Chicken Complete 454g,Duck & Chicken Complete 454g
128,Sauce Portion,"Butter Portion, Liquorice Allsorts, Rice Portion, Sauce Portion, Sauce Portion , Saute Mushrooms, Sliced Bloomer 22p , Vinegar Portion"
129,Bell's Blended Scotch Whisky 25ml,Bell's Blended Scotch Whisky 25ml
130,8 - Pommery Brut Rose NV,8 - Pommery Brut Rose NV
131,Steenbok Sauv Blanc 175ml,"Steenbok Sauv Blanc 175ml, Yealands S. Blanc 175ml "
132,CL401 - Free Range Chunky Egg Mayonnaise & Mustard,CL401 - Free Range Chunky Egg Mayonnaise & Mustard
133,Tuna & Sweetcorn Pasta,"Tuna & Sweetcorn Pasta, Tuna & Sweetcorn Sandwich, Tuna & Sweetcorn on Oatmeal, Tuna, Sweetcorn & Cucumber"
134,Shortbread Fingers Snackpack,Shortbread Fingers Snackpack
135,EXTRA DRY DOUBLE,"EXTRA DRY DOUBLE, GLENMORANGIE 10YR DOUBLE, MARTINI EXTRA DRY 50ML"
136,Tuna Pot,"50p Product, BTL Inspiral Merlot, Channa Pindi, Fruit Pot, Granola Pots, Guacamole, Hug in a Mug, Jungbomb 3 for £5, Lucozade Sport, Nut Roast, Tango 16oz, Tanq Sgl, Tomatoes on Toast, Tonic Post Mix Pt, Topped Potato, Tuna Mayo Jacket, Tuna Pot, Vegan Hotdog"
137,Mash Potatoes,"Aladin Potato 15gm, Bombay Potatoes, Danish Pastries, East Coast IPA, Mash Potatoes, Plum Tomatoes tinned, Turkish Tomato Salad, pop bottles"
138,Chicken Mayonnaise in White Halal Sandwich,Chicken Mayonnaise in White Halal Sandwich
139,Glass Noodles with chicken sopas,Glass Noodles with chicken sopas
140,Espresso Double,"D/Espresso Discount, Espresso Double, Espresso Double , Red Square Vodka Double RS, Tia Maria Double"
141,Americano 16oz,"Americano 12oz Bean to Cup, Americano 16oz, Americano Fontanella 16oz , Americano Large, Americano Medium"
142,Beer/Cider 4 halfs for ?10,Beer/Cider 4 halfs for ?10
143,Dead Mans Finger Coconut 50ml,"Dead Mans Finger Coconut 50ml, Dead Mans Finger Pineapple 50ml, Dead mans finger 50ML"
144,DIET COKE CAN,"9 INCH GARLIC BREAD, BARISTA COFFEES £2.50, COCA COLA GLASS , DIET COKE CAN, DOUBLE UP DEAL, G ICED AMERICANO, LP ROSE MAGNUM, MEDIUM SAUV BLANC SH, MIX CASHEW NUTS, No 7 3 COURSE MEAL, PARK HONEY 8oz, PIMMS PRE MIX CAN"
145,Walkers Standard Bag Cheese & Onion,Walkers Standard Bag Cheese & Onion
146,ZZ Loacker Napolitaner,"Veg carvery roast dinner, ZZ Loacker Napolitaner, ZZ Loacker Vanilla, tunnocks caramel wafer "
147,Whitstable bay pale ale 1/2 pt,Whitstable bay pale ale 1/2 pt
148,Corkys Raspberry 25ml,"Corkys Raspberry 25ml, Scoop - Raspberry Ripple"
149,BAREBELLS WHITE CHOCO ALMOND,BAREBELLS WHITE CHOCO ALMOND
150,Little Beauty Sauvignon Blanc,Little Beauty Sauvignon Blanc
151,Premium Sausage Bap,"Bacon & Sausage Bap, Premium Filling 0.95, Premium Sandwich HO, Premium Sausage Bap"
152,Croissants/ Pastries (£1.50),Croissants/ Pastries (£1.50)
153,Sambucca 25ml,"BWSportAct250ml, Black Sambuca 25ml, Blackcurrent 25ml, ComLuscious58W, GarlicMayo250ml, Malibu Single 25ml, Sambucca 25ml, Shortcross 35ml, SimAPStick40ml, Tomato Juice - 125ml, V05DryBack200ml, Zapa Malbec 125ml"
154,Amstel Pint,"Absolut Vodka Miniature, All Steak Pie, Amstel Pint, Amstell Pint, Apple Pie, Aviator Gin , Carling Pint, Fishless Fish, GUINNESS Pint, Lemon & Ginger, Nestle Mini's, San Pellegrino, Tennent's  Pint, Twisted Peach Bellini "
155,Cadbury Oreo Bites,"Cadbury 120g bar, Cadbury Boost Choc Bar, Cadbury Oreo Bites, Jacquart Brut Mosaïque , Koppaberg Mixed Berries"
156,Roberts Brown Sandwich Slims x 6,Roberts Brown Sandwich Slims x 6
157,LGE ROSE PET (VIN),"LEMON PEPPER CHICKEN, LEMONADE - HALF PINT, LGE ROSE PET (VIN), LOCKTOBER PILSNER STEIN, SMALL WHITE PET (VIN)"
158,Sprite,"Asprin, District £7, Mojito, Omlette, Open Drink, Open Price, Pinotage, Porridge, S/F Caramel, SGAttractHer250, SJChilli26g, SVG Toilet500, Sausage, Small Tea, Sprite, Sprite/Fanta, Tea Speciality, Teacake, Tribe, Twirl43g, VK Ice, Yorkie"
159,Real Hand Cooked Sea Salt Crisps 35g,"Real Hand Cooked Crisps Jalapeno 35g, Real Hand Cooked Sea Salt Crisps 35g"
160,Gnt White Flry Batch Slcd x 12,Gnt White Flry Batch Slcd x 12
161,Pop Chips,"Add Cheese, LRG Chips, OPEN DRAUGHT, PET Coke, Pie and Chips , Pink Soda Schweppes, Pop Chips, Pop Chips BBQ, Pork Scratchings, Vegan Cheese"
162,Coke Zero,"5c menu (veg), Aloo Jeera, CD Coke Cherry Zero, COKE ZERO, Coke Energy, Coke Zero, Coke Zero Btl, Cookware �18.00, Double Decker Duo, GUIN NESS, Kinder Bueno, Soda (mixer), shower gel "
163,The Florita Riesling 2017,The Florita Riesling 2017
164,Salted caramel crunch medium,Salted caramel crunch medium
165,Giant Cookie,"Bcurrant Cord Dash, Giant Bourbon, Giant Cookie, Glenmorangie, Graduation Hoodie M, Granfort Rose , Medium Cookie X2, Penne Bolognaise, chocolatey cookies"
166,Large Cheesy Chips,"Beef burger cheese fresh, Kettle sweet chilli, Large Cheesy Chips, Large Grab & Go pots  , Small Cheesy Chips, Sweet Cheeks Cider, Veggie Pie with Chips"
167,Neethlingshof Pinotage Bottle,Neethlingshof Pinotage Bottle
168,Lucozade Sport Raspberry 500ml BTL,"Lucozade Sport Raspberry 500ml BTL, Ribena Sparkling Raspberry 500ml BTL"
169,Hot Chocolate ,"Flourless Chocolate Cake, Hot Choc Large, Hot Choc Lrg, Hot Chocolate, Hot Chocolate , Hot Chocolate 12oz, Hot chocolate large, MB Chocolate Chip Muffin, Milk Choc Peanuts , OHSO Cake Slice , PET Coca Cola (MP), Yellows Hot Chocolate, cafe - Chocolate Bar £1.00"
170,Monte Cristo/Puritos Cigar,Monte Cristo/Puritos Cigar
171,LARGE FISH,"200ML ORANGE JUICE, BAGEL PHILLY, CHEESE SANDWICH, CHOCOLATE TWIST, FTREE TONIC, GORDON'S SINGLE, HAVANA ESPECIAL, LARGE FISH, LATTE MEDIUM, LATTE SMALL, T ICE MOCHA, TOFFEE CRISP"
172,Belgium choc frostino medium,Belgium choc frostino medium
173,Vegetable Side,"Apple/Orange Juice, SVG Tablets 24, Vegan Saus S/W , Vegetable Selection, Vegetable Side, Vegetarian dish, Weston's Cider"
174,Chip Butty,"Chip Butty, Chip Butty , Chip Stack, Chips Museum, CifWipesBath80s, Thali Curry, The Might Cuban"
175,Confectionary 55p,"90p Confectionary, Confectionary 55p, Confectionary 85p"
176,DRAMBUIE 25ML,"DRAMBUIE 25ML, GLENFIDICH 25ML, Glenkinchie  25ML, JACK DANIELS 25ML, Jagermeister  25ML, MALIBU 25ML, PREMIUM PANINI, WHITE SAMBUCA 25ML, YORK GIN 25ML "
177,Muffins/ Traybakes/Cake ,Muffins/ Traybakes/Cake 
178,Grey Goose (50ml),"Apple Juice (568ml), Games Socks NEW 3-6, Grey Goose (25ml), Grey Goose (50ml), Remy Martin Vsop (50ml), Southern comfort (50ml)"
179,GRANOLA POT 50p,"GIMCRACK AFTERNOON TEA, GRANOLA POT 50p, GRILLED TOMATO 60p, TONADA MERLOT BTL"
180,Anjou Rose Tourville 250ml,"Anjou Rose Tourville 175ml, Anjou Rose Tourville 250ml"
181,Dash Fresh Orange,"Al Ain Fresh Juice, Dash Fresh Orange, Dash of Soft Drink Mixer, Frobisher's Orange, Lucozade Orange, Quench Squash Small , Roast Squash Hummus, Salade Santé Freshorange"
182,Adult Walk in - O&T - FREE,Adult Walk in - O&T - FREE
183,Kingstone Press Half,"Egg Mayo & Cress Value, Kingstone Press - Pint , Kingstone Press Half"
184,Runaway Brewery Saison Summer (330ml),Runaway Brewery Saison Summer (330ml)
185,Frobishers Orange Infusions,Frobishers Orange Infusions
186,Toast & Spread,"Robinson Refresh'd, TO Rise & Shine , Toast & Spread, Toast Brown Bread, Toasted bagel bar"
187,Sugar ring doughnut,"Dairy Milk Wholenut, Glazed Doughnut, Hot Drink & Doughnut , Sugar ring doughnut, Sugarfree Irn Bru can"
