,Exemplar,Cluster
94,Chicken Strips Sandwich,"CL201 - Classic Roast Chicken Salad, Cheese Straw, Chicken Strips Sandwich, Chocoholic cake bars (sweet Ideas), Extra Chewing Gum Spearmint, Fajitas Sandwich, Ham & Cheese Sandwich, Jacket potatoes with side, Live Sandwich Corner , Met Chick & fries, Oatcake with Cheese, Pork, Potato & Spinach Curry w/ Rice, Roast Chickpea, Tomato, Red Onion, Scampi and Chips., Schweppes Mixers, Schweppes Pink Soda, Shape Shifter Can, Snackideas Honey Roasted Cashews & Peanuts, Soho Mature Cheddar & Spring Onion Sandwich, Spice Chip Stack, Strawberry Milkshake, Sweet Ideas Classic Fizzy Strawberry Pencils, Tesco Tuna Crunch Sandwich"
95,Flapjack ,"Bakewell FJ, Bakewell Flapjack, Costa Flapjack, Flapjack, Flapjack "
96,Milk,Milk
97,Tea ,"HD  Tea Lge, Karak Tea, Lge Tea, Meat , Tea, Tea , Tea SS, ZZ Tea Cake"
98,Cawston Press Rhubarb Can,"Cawston Press - Rhubarb, Cawston Press Rhubarb Can, Cheese & tomato in a white baguette, Crusher Pinot Noir, Nobby's Nuts Dry Roasted Peanuts, Strawberry Yoghurt Pot 8oz"
99,Espresso Solo,"Apple, Espresso, Espresso DBL, Espresso Solo, OK Serve, Single Espresso, Solero, Soup Simple"
100,Mccains Poppers,"2 for £2 crisps, Ciroc Pineapple 25ml, Di Maria Prosecco, London Popcorn, Mccains Poppers, Open Price, Open price, Pepperoni Pizza, Pepsi Max, Pie and chips , Pokka Mango Nectar, Poncho for 2 MD, Power Up Antioxidant Mix , PriceZap Porridge/Hot drinks, Propercorn, Prosecco Large , Prosecco Villa 20cl, Prosecco Villa 75cl, Pumpkin Mushroom Pie, Topic"
101,Springbourne Still Water 500ml Sportscap,"800g Roberts White Medium, 800g Roberts White Mega Thick, Absolute Citron 25ml, Eat Natural Bar Almond & Apricot 50g, Juiceburst Orange 500ml, Oasis Summer Fruits Zero 500ml, Punjabi Samosa - I pc , Ribena Sparkling Raspberry 500ml BTL, Schwepps Tonic Water 125ml, Springbourne Still Water 500ml Sportscap, Top Up Member Account, Walkers Roast Chicken Crisps 32.5g, Whitely Neill Original Double 50ml, mushroom, spinach butterbean stroganoff"
102,Galaxy Caramel,"Caramel Waffle, Earl Grey, Galaxy, Galaxy Caramel, Vege Gyoza Box"
103,Spaghetti Bolognaise ,"B15 Bolney Estate, Bites Soup & Roll, Goodthings Shiraz 187ml, Highland Spring Still 1 ltr, Hula hoops tangy cheese, John Smith's Extra Smooth 3.6% ABV (440ml), Max Strong Jalapeno & Cheese , Meal Deal - Sausage Bap & Hot Drink , Popchips Sea Salt 23g, Sausage, Chips & Beans, Single Sausage bap, Spaghetti Bolognaise , Spring Water Sparkling, Tomato & meatball pasta BK, Vegetable Shepherds Pie With One Side, Wispa Bitsa 95g, Wotsits Slizzling Steak"
104,Bic Ballpoint Pen - Black,"Bic Ballpoint Pen - Black, Bic Ballpoint Pen - Green, Coke Cola - Classic - Bottle, Ice Breaker Half Pint, Kenco to Go Coffee Black, Plant-able Poppy Pencil, Womans Tee - Black 8"
105,Jack Daniels 25ml,"Bracken Hill Jam, Day2Denim200ml, Don Jacobo Rioja 175ml, Finlandia Vodka & Tonic 225ml, Greenalls Pink 25ml, Jack Daniels, Jack Daniels 25ml, Jack Daniels 50ml , Teatime Biscuit Pack 275gm"
106,Hot Deli Sandwich SS,"Bacon Sandwich, Deep Fill Sandwich, Hot Deli Sandwich SS, New York Deli Sandwich, Omelette Sandwich , Slice Sandwich Of the Day, W Hawaiian Slice, ZZZThe Social £5 "
107,Burrito Veggie,"Burrito Veggie, Courvoisier VS , Diet Irn Bru, Veggie Burger, Veggie Hot Box"
108,House Wine Bottle 750ml,"Boe Gin 50ml, House White 125Ml , House Wine 1/4 Bt, House Wine Bottle 750ml, Red Wine BTL 8.50, Tonic 150ml Btl, Veuve Clicquot NV 375ml Bottle, W27. Rama Tinto"
109,Extra Shot,"Extra Espresso Shot, Extra Hot, Extra Shot, GH DecafExtraShot"
110,Syrup Shot,"Shipyard IPA, Syrup Shot, Syrup Shot "
111,Toast,"Eggs & Toast SS, Taro, Toast"
112,ComHoney1.16L,"ComHoney1.16L, Honey"
113,Bacon and Sausage Baguette,"BBQ Sausage Pasta, Bacon & sausage Baguette, Bacon Butty, Bacon and Sausage Baguette, Bacon/Sausage, Bao/Baguette/Salad, Mom's Hot Dog Bad Boy, Sandwiches & Baguettes 2.00, Sausage & bacon butty, Snack Boost, Van Soft Can Lotus, Vegan BBQ Sausage Sandwich"
